incident,date-time,year,date-no year,location,res hall,alcohol
ASSIST OTHER AGENCY,1/10/14 0:33,2014,01/10,PITTSBORO ST / W CAMERON AVE,NA,
VANDALISM / PROPERTY DAMAGE,1/10/14 15:30,2014,01/10,BAITY HILL UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,1/10/14 3:44,2014,01/10,COGENERATION FACILITY UNC,NA,ALCOHOL - UNDERAGE CONSUMPTION
COUNTERFEITING - USING,1/10/14 9:56,2014,01/10,DANIELS STUDENT STORES UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,1/10/15 1:40,2015,01/10,EHRINGHAUS RES HALL,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
LARCENY - FROM BUILDING,1/10/15 13:06,2015,01/10,MCCOLL BUSINESS SCHOOL UNC,NA,
EMS ASSIST,1/10/15 3:27,2015,01/10,EHRINGHAUS RES HALL,RES HALL,
ALCOHOL - UNDERAGE CONSUMPTION,1/10/15 3:31,2015,01/10,HINTON JAMES RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
ALCOHOL - ALL OTHER LIQUOR LAW VIOLATION,1/10/15 4:17,2015,01/10,HINTON JAMES RES HALL UNC,RES HALL,ALCOHOL - ALL OTHER LIQUOR LAW VIOLATION
,1/10/16 0:00,2016,01/10,PUBLIC SAFETY BUILDING UNC,NA,
DRUGS - EQUIPMENT/PARAPHERNALIA,1/10/16 21:38,2016,01/10,KOURY RES HALL UNC,RES HALL,
ALCOHOL - UNDERAGE CONSUMPTION,1/10/16 3:05,2016,01/10,HINTON JAMES RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
FOUND PROPERTY,1/10/17 0:00,2017,01/10,SWAIN PARKING LOT,NA,
,1/10/17 0:00,2017,01/10,PARKER RES HALL UNC,RES HALL,
PIPE BREAK,1/10/17 12:00,2017,01/10,MASON FARM RD,NA,
BURGLARY- NON-FORCED ENTRY (STRUCTURES),1/10/17 12:13,2017,01/10,WINSTON RES HALL UNC,RES HALL,
EMS ASSIST,1/10/17 17:15,2017,01/10,EHRINGHAUS RES HALL,RES HALL,
B&E NON-FORCED ENTRY,1/10/17 17:51,2017,01/10,WINSTON RES HALL UNC,RES HALL,
ALCOHOL - UNDERAGE CONSUMPTION,1/10/17 2:26,2017,01/10,EHRINGHAUS RES HALL,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
,1/10/18 0:00,2018,01/10,MANNING DR/SKIPPER BOWLES DR,NA,
,1/10/18 0:00,2018,01/10,HOSPITALS UNIV OF NC UNC,NA,
,1/10/18 0:00,2018,01/10,PUBLIC SAFETY BUILDING UNC,NA,
,1/10/18 0:00,2018,01/10,EMERSON DR,NA,
EMS ASSIST,1/10/18 10:39,2018,01/10,CARRINGTON HALL UNC,NA,
LARCENY-ALL OTHER,1/10/18 12:19,2018,01/10,OLD CLINIC UNC,NA,
LARCENY OF BICYCLE,1/10/18 13:20,2018,01/10,VAN HECKE WETTACH UNC,NA,
SUSPICIOUS CONDITION (CRIMINAL PHISHING EMAIL),1/10/18 13:37,2018,01/10,GOODMON BUILDING UNC,NA,
FOUND PROPERTY,1/10/18 15:19,2018,01/10,NEW EAST UNC,NA,
POSSESSION OF LESS THAN 1/2 OZ MARIJUANA,1/10/18 15:45,2018,01/10,PITTSBORO ST/S COLUMBIA ST,NA,
FOUND PROPERTY,1/10/18 17:29,2018,01/10,PUBLIC SAFETY BUILDING UNC,NA,
EMS ASSIST,1/10/18 18:13,2018,01/10,GRAHAM STUDENT UNION UNC,NA,
PROPERTY DAMAGE,1/10/18 19:59,2018,01/10,HORNEY GILES F BLDG UNC,NA,
VOLUNTARY COMMITMENT,1/10/18 19:59,2018,01/10,TEAGUE RES HALL UNC,RES HALL,
ALCOHOL - UNDERAGE CONSUMPTION,1/10/18 4:07,2018,01/10,EHRINGHAUS RES HALL,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
,1/11/13 0:00,2013,01/11,HAMILTON UNC,NA,
,1/11/13 0:00,2013,01/11,MANNING DR / HOSPITAL,NA,
EMS ASSIST,1/11/13 0:05,2013,01/11,FETZER GYM ROBERT A UNC,NA,
VANDALISM - DAMAGE TO REAL PROPERTY,1/11/13 14:00,2013,01/11,DAVIS WALTER R LIBRARY UNC,NA,
EMS ASSIST,1/11/13 18:07,2013,01/11,WOOLLEN GYM UNC,NA,
EMS ASSIST,1/11/13 2:13,2013,01/11,HINTON JAMES RES HALL UNC,RES HALL,
VANDALISM - DAMAGE TO REAL PROPERTY,1/11/13 2:17,2013,01/11,SWAIN UNC,NA,
FAKE IDENTIFICATION,1/11/13 3:00,2013,01/11,PUBLIC SAFETY BUILDING UNC,NA,
VANDALISM - DAMAGE TO REAL PROPERTY,1/11/13 8:28,2013,01/11,HOSPITALS UNIV OF NC UNC,NA,
MISDEMEANOR LARCENY,1/11/13 9:29,2013,01/11,AMBULATORY CARE CENTER UNC,NA,
VOLUNTARY COMMITMENT,1/11/13 9:44,2013,01/11,KENAN RES HALL UNC,RES HALL,
PROPERTY DAMAGE,1/11/14 13:57,2014,01/11,BATTLE LN,NA,
LARCENY - FROM BUILDING,1/11/14 15:25,2014,01/11,STUDENT RECREATION CENTER UNC,NA,
NOISE COMPLAINT,1/11/14 21:54,2014,01/11,RAMS VILLAGE,NA,
VOLUNTARY COMMITMENT,1/11/15 22:45,2015,01/11,CRAIGE NORTH RES HALL UNC,RES HALL,
POSSESSION OF LESS THAN 1/2 OZ MARIJUANA,1/11/15 23:34,2015,01/11,EHRINGHAUS RES HALL,RES HALL,
ALCOHOL - ALL OTHER LIQUOR LAW VIOLATION,1/11/15 3:04,2015,01/11,AVERY RES HALL UNC,RES HALL,ALCOHOL - ALL OTHER LIQUOR LAW VIOLATION
ALCOHOL - ALL OTHER LIQUOR LAW VIOLATION,1/11/15 3:22,2015,01/11,TEAGUE RES HALL UNC,RES HALL,ALCOHOL - ALL OTHER LIQUOR LAW VIOLATION
ALCOHOL - UNDERAGE CONSUMPTION,1/11/15 3:38,2015,01/11,GRANVILLE TOWERS,GRANVILLE,ALCOHOL - UNDERAGE CONSUMPTION
,1/11/16 0:00,2016,01/11,STUDENT STORES WAREHOUSE UNC,NA,
LARCENY-ALL OTHER,1/11/16 12:57,2016,01/11,THE PIT UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),1/11/16 13:49,2016,01/11,HEALTH SCIENCES LIBRARY UNC,NA,
HARASSMENT,1/11/16 15:00,2016,01/11,HOUSE LIBRARY R B UNC,NA,
PROPERTY DAMAGE,1/11/16 7:17,2016,01/11,JACKSON PARKING DECK,NA,
,1/11/17 0:00,2017,01/11,GRANVILLE TOWERS,GRANVILLE,
,1/11/17 0:00,2017,01/11,AMBULATORY CARE CENTER UNC,NA,
PROPERTY DAMAGE,1/11/17 13:52,2017,01/11,PUBLIC SAFETY BUILDING UNC,NA,
FOUND PROPERTY,1/11/17 17:31,2017,01/11,GENOMIC SCIENCES RESEARCH UNC,NA,
EMS ASSIST,1/11/17 19:11,2017,01/11,COBB RES HALL UNC,RES HALL,
BUSTED PIPE,1/11/17 7:34,2017,01/11,LOUDERMILK CENTER FOR EXC UNC,NA,
SLIP AND FALL ACCIDENT,1/11/17 8:21,2017,01/11,BURNETT WOMACK UNC,NA,
FOUND PROPERTY,1/11/17 9:57,2017,01/11,DOGWOOD PARKING DECK UNC,NA,
,1/11/18 0:00,2018,01/11,MASON FARM RD/WEST DR,NA,
,1/11/18 0:00,2018,01/11,GRANVILLE TOWERS,GRANVILLE,
LARCENY - FROM BUILDING,1/11/18 0:38,2018,01/11,HILL HALL UNC,NA,
LARCENY OF BICYCLE,1/11/18 11:20,2018,01/11,GRANVILLE TOWERS,GRANVILLE,
LARCENY - FROM BUILDING,1/11/18 13:09,2018,01/11,E FRANKLIN ST,NA,
EMS ASSIST,1/11/18 14:21,2018,01/11,PHILLIPS UNC,NA,
FOUND PROPERTY,1/11/18 15:22,2018,01/11,CARMICHAEL ARENA UNC,NA,
EMS ASSIST,1/11/18 15:25,2018,01/11,HINTON JAMES RES HALL UNC,RES HALL,
PROPERTY DAMAGE,1/11/18 16:12,2018,01/11,BOSHAMER PARKING LOT UNC,NA,
INFORMATIONAL,1/11/18 2:51,2018,01/11,MORRISON RES HALL UNC,RES HALL,
,1/12/13 0:00,2013,01/12,HIBBARD DR,NA,
INTERFERING WITH SMOKE DETECTOR SYSTEM,1/12/13 0:11,2013,01/12,ODUM VILLAGE UNC,NA,
VANDALISM - DAMAGE TO REAL PROPERTY,1/12/13 16:56,2013,01/12,DAVIE UNC,NA,
DRUGS - EQUIPMENT/PARAPHERNALIA,1/12/14 0:00,2014,01/12,CRAIGE RES HALL UNC,RES HALL,
SUSPICIOUS CONDITION (NON-CRIMINAL),1/12/14 10:56,2014,01/12,PEABODY UNC,NA,
DUMPSTER FIRE,1/12/14 15:25,2014,01/12,TEAGUE RES HALL UNC,RES HALL,
,1/12/15 0:00,2015,01/12,RALEIGH ST/SOUTH RD,NA,
,1/12/15 0:00,2015,01/12,MANNING DR / PAUL HARDIN DR,NA,
,1/12/15 0:00,2015,01/12,SMITH DEAN E SAC UNC,NA,
,1/12/15 0:00,2015,01/12,MANNING DR/WEST DR,NA,
SIMPLE MISDEMEANOR POSSESSION,1/12/15 10:29,2015,01/12,MANNING DR / SKIPPER BOWLS,NA,
LARCENY - FROM BUILDING,1/12/15 20:49,2015,01/12,WOOLLEN GYM UNC,NA,
LARCENY - FROM BUILDING,1/12/15 9:46,2015,01/12,MCCOLL BUSINESS SCHOOL UNC,NA,
,1/12/16 0:00,2016,01/12,DAVIS WALTER R LIBRARY UNC,NA,
VANDALISM / PROPERTY DAMAGE,1/12/16 10:18,2016,01/12,CARDINAL PARKING DECK,NA,
EMS ASSIST,1/12/16 11:21,2016,01/12,CONE KENFIELD TENNIS UNC,NA,
INFORMATIONAL,1/12/16 16:30,2016,01/12,GRANVILLE TOWERS,GRANVILLE,
DEFACE A STATUE OR MONUMENT,1/12/16 4:45,2016,01/12,MCCORKLE PLACE UNC,NA,
SATURATION PATROL,1/12/16 8:00,2016,01/12,15-501 / WAVE RD,NA,
CLERY - ALLEGATION OF STALKING,1/12/17 0:00,2017,01/12,GRAHAM STUDENT UNION UNC,NA,
,1/12/17 0:00,2017,01/12,ATM DR,NA,
,1/12/17 0:00,2017,01/12,MASON FARM RD / EAST DR,NA,
,1/12/17 0:00,2017,01/12,MANNING DR/S FORDHAM BLVD,NA,
FOUND PROPERTY,1/12/17 12:49,2017,01/12,THE PIT UNC,NA,
LARCENY - FROM BUILDING,1/12/17 14:18,2017,01/12,MACNIDER UNC,NA,
WINDOW BROKEN,1/12/17 14:56,2017,01/12,MACNIDER UNC,NA,
FOUND PROPERTY,1/12/17 18:33,2017,01/12,JACKSON PARKING DECK,NA,
DRUGS - DRUG VIOLATION,1/12/17 22:02,2017,01/12,HINTON JAMES RES HALL UNC,RES HALL,
VANDALISM / PROPERTY DAMAGE,1/12/17 9:09,2017,01/12,MCGAVRAN GREENBERG HALL UNC,NA,
,1/12/18 0:00,2018,01/12,PITTSBORO / CAROLINA INN,NA,
RESIST DELAY OBSTRUCT,1/12/18 1:14,2018,01/12,MCCORKLE PLACE UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,1/12/18 1:32,2018,01/12,GRANVILLE TOWERS,GRANVILLE,ALCOHOL - UNDERAGE CONSUMPTION
ALCOHOL - UNDERAGE CONSUMPTION,1/12/18 10:48,2018,01/12,CARROLL HALL UNC,NA,ALCOHOL - UNDERAGE CONSUMPTION
FOUND PROPERTY,1/12/18 13:56,2018,01/12,RIDGE RD,NA,
BLOWN TRANSFORMER SWITCH,1/12/18 9:50,2018,01/12,JONES MARY ELLEN UNC,NA,
ASSAULT - ALL OTHER SIMPLE ASSAULT,1/13/13 0:00,2013,01/13,LENOIR UNC,NA,
MISSING PERSONS,1/13/13 0:00,2013,01/13,MANNING DR / PAUL HARDIN DR,NA,
,1/13/13 0:00,2013,01/13,PITTSBORO ST/S COLUMBIA ST,NA,
,1/13/13 0:00,2013,01/13,ARBORETUM // HOWELL,NA,
VANDALISM - DAMAGE TO REAL PROPERTY,1/13/13 0:12,2013,01/13,PARKER RES HALL UNC,RES HALL,
EMS ASSIST,1/13/13 1:00,2013,01/13,KENAN FOOTBALL STADIUM,NA,
VANDALISM - INJURY TO PERSONAL PROPERTY,1/13/13 11:24,2013,01/13,HORACE WILLIAMS AIRPORT UNC,NA,
EMS ASSIST,1/13/13 11:44,2013,01/13,HENRY STADIUM UNC,NA,
POSSESSION OF LESS THAN 1/2 OZ MARIJUANA,1/13/13 18:32,2013,01/13,MASON FARM RD / EAST DR,NA,
EMS ASSIST,1/13/13 2:10,2013,01/13,SOUTH RD / GRAHAM STUDENT UNION,NA,
SEX OFFENSE - ALL OTHER,1/13/13 22:58,2013,01/13,GRANVILLE TOWERS,GRANVILLE,
SEX OFFENSE IN CARRBORO,1/13/13 3:19,2013,01/13,KOURY RES HALL UNC,RES HALL,
EMS ASSIST,1/13/13 3:30,2013,01/13,TEAGUE RES HALL UNC,RES HALL,
NOTICE OF TRESPASS,1/13/13 8:24,2013,01/13,CAROLINA INN UNC,NA,
EMS ASSIST,1/13/14 0:00,2014,01/13,HEALTH SCIENCES LIBRARY UNC,NA,
LARCENY OF A LAPTOP,1/13/14 0:00,2014,01/13,DANIELS STUDENT STORES UNC,NA,
TRESPASSING,1/13/14 0:00,2014,01/13,CARROLL HALL UNC,NA,
,1/13/14 0:00,2014,01/13,PHILLIPS UNC,NA,
CYBER STALKING,1/13/14 20:57,2014,01/13,PUBLIC SAFETY BUILDING UNC,NA,
VANDALISM / PROPERTY DAMAGE,1/13/14 21:49,2014,01/13,DEY HALL,NA,
VANDALISM / PROPERTY DAMAGE,1/13/14 4:19,2014,01/13,MANNING DR,NA,
VANDALISM / PROPERTY DAMAGE,1/13/14 8:09,2014,01/13,DAVIS WALTER R LIBRARY UNC,NA,
LARCENY - FROM BUILDING,1/13/15 21:54,2015,01/13,RAMS HEAD RECREATION UNC,NA,
,1/13/16 0:00,2016,01/13,MANNING DR/EMERGENCY ROOM DR,NA,
,1/13/16 0:00,2016,01/13,DOGWOOD PARKING DECK UNC,NA,
SUSPICIOUS CONDITION (CRIMINAL),1/13/16 12:09,2016,01/13,WILSON ST,NA,
PROPERTY DAMAGE,1/13/16 15:47,2016,01/13,NASH PARKING LOT UNC,NA,
EMS ASSIST,1/13/16 17:56,2016,01/13,KERR HALL UNC,NA,
EMS ASSIST,1/13/16 23:16,2016,01/13,EHRINGHAUS RES HALL,RES HALL,
FOUND PROPERTY,1/13/17 0:00,2017,01/13,DOGWOOD PARKING DECK UNC,NA,
INFORMATIONAL,1/13/17 0:00,2017,01/13,CHAPEL HILL,NA,
VANDALISM / PROPERTY DAMAGE,1/13/17 0:00,2017,01/13,BONDURANT HALL UNC,NA,
,1/13/17 0:00,2017,01/13,COUNTRY CLUB RD / RALEIGH RD,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),1/13/17 10:01,2017,01/13,MASON FARM ROAD 1301 UNC,NA,
WARRANT SERVICE,1/13/17 11:03,2017,01/13,RAMS HEAD PARKING DECK UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),1/13/17 13:27,2017,01/13,CARRINGTON HALL UNC,NA,
LOST PROPERTY,1/13/17 13:48,2017,01/13,BRINKHOUS BULLITT UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,1/13/17 2:46,2017,01/13,HINTON JAMES RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
FOUND PROPERTY,1/13/17 22:58,2017,01/13,DOGWOOD PARKING DECK UNC,NA,
INFORMATIONAL,1/13/17 8:21,2017,01/13,HA I CARDINAL PARKING UNC,NA,
,1/13/18 0:00,2018,01/13,PTTSBORO/MCCAUGHLY,NA,
,1/13/18 0:00,2018,01/13,CARMICHAEL ARENA UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,1/13/18 1:14,2018,01/13,HINTON JAMES RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
ALCOHOL - UNDERAGE CONSUMPTION,1/13/18 1:45,2018,01/13,HINTON JAMES RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
POSSESSION OF LESS THAN 1/2 OZ MARIJUANA,1/13/18 14:06,2018,01/13,DOGWOOD PARKING DECK UNC,NA,
LARCENY - FROM BUILDING,1/13/18 17:53,2018,01/13,HOUSE LIBRARY R B UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,1/13/18 2:13,2018,01/13,OLD EAST RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
LARCENY-FELONY,1/14/13 0:00,2013,01/14,GRAHAM MEMORIAL UNC,NA,
,1/14/13 0:00,2013,01/14,CAMERON AND COLUMBIA,NA,
,1/14/13 0:00,2013,01/14,EDDIE SMITH PARKING LOT,NA,
WELL-BEING CHECK,1/14/13 0:11,2013,01/14,HINTON JAMES RES HALL UNC,RES HALL,
SUSPICIOUS CONDITION (NON-CRIMINAL),1/14/13 12:31,2013,01/14,HOUSE LIBRARY R B UNC,NA,
LARCENY - POCKET PICKING,1/14/13 13:11,2013,01/14,LENOIR UNC,NA,
MISDEMEANOR LARCENY,1/14/13 14:25,2013,01/14,AMBULATORY CARE CENTER UNC,NA,
FIRE ALARM,1/14/13 17:06,2013,01/14,JACKSON CIR,NA,
MISDEMEANOR LARCENY,1/14/13 19:14,2013,01/14,LENOIR UNC,NA,
INFORMATIONAL,1/14/14 0:00,2014,01/14,CRAIGE RES HALL UNC,RES HALL,
PROPERTY DAMAGE,1/14/14 0:00,2014,01/14,BOSHAMER PARKING LOT UNC,NA,
SUSPICIOUS CONDITION (CRIMINAL),1/14/14 0:00,2014,01/14,GRANVILLE TOWERS,GRANVILLE,
SUSPICIOUS CONDITION (CRIMINAL),1/14/14 0:00,2014,01/14,GRANVILLE TOWERS,GRANVILLE,
,1/14/14 0:00,2014,01/14,EAST DR,NA,
LOST / FOUND PROPERTY,1/14/14 0:31,2014,01/14,COBB PARKING DECK UNC,NA,
DRUGS - DRUG VIOLATION,1/14/14 19:07,2014,01/14,CONNOR RES HALL UNC,RES HALL,
ASSAULT-AGGRAVATED(WITH A MOTOR VEHICLE),1/14/14 19:56,2014,01/14,HA I CARDINAL PARKING UNC,NA,
SIMPLE ASSAULT,1/14/14 7:29,2014,01/14,KENAN LABORATORIES UNC,NA,
CLERY - ALLEGATION OF RAPE,1/14/15 0:00,2015,01/14,304 S. COLUMBIA STREET,NA,
CLERY - ALLEGATION OF RAPE,1/14/15 0:00,2015,01/14,CRAIGE NORTH RES HALL UNC,RES HALL,
,1/14/15 0:00,2015,01/14,MASON FARM/ODIES,NA,
,1/14/15 0:00,2015,01/14,DOGWOOD PARKING DECK UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,1/14/15 0:11,2015,01/14,GRANVILLE TOWERS,GRANVILLE,ALCOHOL - UNDERAGE CONSUMPTION
ALCOHOL - UNDERAGE CONSUMPTION,1/14/15 0:43,2015,01/14,CRAIGE RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
EMS ASSIST,1/14/15 10:12,2015,01/14,DOGWOOD PARKING DECK UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),1/14/15 14:23,2015,01/14,MANNING/MEMORIAL HOSPITAL,NA,
LARCENY - FROM BUILDING,1/14/15 15:26,2015,01/14,TAYLOR RES HALL UNC,RES HALL,
ASSAULT - COMMUNICATE THREATS,1/14/15 15:28,2015,01/14,THURSTON BOWLES UNC,NA,
EMS ASSIST,1/14/15 2:39,2015,01/14,COBB RES HALL UNC,RES HALL,
CALLS FOR SERVICE,1/14/15 22:11,2015,01/14,AVERY RES HALL UNC,RES HALL,
EMS ASSIST,1/14/15 9:03,2015,01/14,SECU FAMILY HOUSE UNC,NA,
ALCOHOL - ALL OTHER LIQUOR LAW VIOLATION,1/14/16 0:00,2016,01/14,EHRINGHAUS DR,NA,ALCOHOL - ALL OTHER LIQUOR LAW VIOLATION
,1/14/16 0:00,2016,01/14,MANNING DR,NA,
,1/14/16 0:00,2016,01/14,S COLUMBIA ST/MANNING DR,NA,
,1/14/16 0:00,2016,01/14,FRIDAY CENTER PARK AND RIDE,NA,
EMS ASSIST,1/14/16 11:19,2016,01/14,CARMICHAEL RES HALL UNC,RES HALL,
PROPERTY DAMAGE,1/14/16 13:03,2016,01/14,ANNEX LOT GENERAL ADMINISTRATION PVA,NA,
EMS ASSIST,1/14/16 14:05,2016,01/14,VENABLE UNC,NA,
LARCENY OF BICYCLE,1/14/16 16:11,2016,01/14,CRAIGE RES HALL UNC,RES HALL,
DRUGS - ALL OTHER VIOLATIONS,1/14/16 22:17,2016,01/14,HINTON JAMES RES HALL UNC,RES HALL,
,1/14/17 0:00,2017,01/14,PORTHOLE ALLEY,NA,
PROPERTY DAMAGE,1/14/17 19:24,2017,01/14,DOGWOOD PARKING DECK UNC,NA,
INFORMATIONAL,1/14/18 0:00,2018,01/14,PUBLIC SAFETY BUILDING UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,1/14/18 0:32,2018,01/14,EHRINGHAUS RES HALL,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
DRUGS - POSSESION OF LESS THAN 1/2 OUNCE,1/14/18 0:33,2018,01/14,RALEIGH ST / E CAMERON AVE,NA,
ALCOHOL - UNDERAGE CONSUMPTION,1/14/18 1:31,2018,01/14,GRANVILLE TOWERS,GRANVILLE,ALCOHOL - UNDERAGE CONSUMPTION
FOUND PROPERTY,1/14/18 12:50,2018,01/14,PUBLIC SAFETY BUILDING UNC,NA,
ASSIST OTHER AGENCY,1/14/18 21:34,2018,01/14,AIRPORT ROAD 608 UNC,NA,
DISTURBING THE PEACE,1/14/18 3:12,2018,01/14,RAMS VILLAGE,NA,
THREAT ASSESSMENT,1/15/13 0:00,2013,01/15,AMBULATORY CARE CENTER UNC,NA,
LARCENY - FROM BUILDING,1/15/13 14:38,2013,01/15,VAN HECKE WETTACH UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),1/15/13 14:58,2013,01/15,PUBLIC SAFETY BUILDING UNC,NA,
LARCENY OF BICYCLE,1/15/13 15:17,2013,01/15,MORRISON RES HALL UNC,RES HALL,
LARCENY OF BICYCLE,1/15/13 9:58,2013,01/15,CRAIGE NORTH RES HALL UNC,RES HALL,
LOST PROPERTY,1/15/14 0:00,2014,01/15,LENOIR UNC,NA,
VANDALISM / PROPERTY DAMAGE,1/15/14 0:00,2014,01/15,DAVIS WALTER R LIBRARY UNC,NA,
,1/15/14 0:00,2014,01/15,LENOIR UNC,NA,
ASSAULT - BY STRANGULATION,1/15/14 1:54,2014,01/15,GRANVILLE TOWERS,GRANVILLE,
SUSPICIOUS PERSON,1/15/14 11:13,2014,01/15,KENAN MUSIC CENTER UNC,NA,
B&E NON-FORCED ENTRY,1/15/14 14:38,2014,01/15,GRIMES RES HALL UNC,RES HALL,
INVOLUNTARY COMMITMENT,1/15/14 17:15,2014,01/15,TAYLOR CAMPUS HEALTH UNC,NA,
INFORMATIONAL,1/15/14 7:34,2014,01/15,MEDICAL BIOMOLECULAR RESEARCH UNC,NA,
CLERY - ALLEGATION OF FONDLING,1/15/15 0:00,2015,01/15,UNKNOWN FRATERNITY HOUSE,NA,
LARCENY - FROM BUILDING,1/15/15 0:00,2015,01/15,WOOLLEN GYM UNC,NA,
,1/15/15 0:00,2015,01/15,BELL TOWER PARKING DECK UNC,NA,
,1/15/15 0:00,2015,01/15,MASON FARM RD / EAST DR,NA,
,1/15/15 0:00,2015,01/15,FRIDAY CENTER UNC,NA,
,1/15/15 0:00,2015,01/15,FRIDAY CENTER UNC,NA,
TRESPASSING,1/15/15 2:20,2015,01/15,DAVIE UNC,NA,
LOST PROPERTY,1/15/16 0:00,2016,01/15,EDDIE SMITH FIELD HOUSE UNC,NA,
ASSAULT - COMMUNICATE THREATS,1/15/16 10:43,2016,01/15,AYCOCK FAMILY MEDICINE UNC,NA,
CALLS FOR SERVICE,1/15/16 13:15,2016,01/15,AMBULATORY CARE CENTER UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),1/15/16 15:52,2016,01/15,PUBLIC SAFETY BUILDING UNC,NA,
EMS ASSIST,1/15/16 17:00,2016,01/15,MORRISON RES HALL UNC,RES HALL,
ALCOHOL - ALL OTHER LIQUOR LAW VIOLATION,1/15/16 2:30,2016,01/15,PAUL HARDIN DR,NA,ALCOHOL - ALL OTHER LIQUOR LAW VIOLATION
EMS ASSIST,1/15/16 2:53,2016,01/15,RAM VILLAGE 5 AT 520 WILLIAMSON UNC,NA,
DISTURBANCE,1/15/16 22:05,2016,01/15,BAITY HILL UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,1/15/16 23:52,2016,01/15,HINTON JAMES RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
