crime_category,crime_type,chrgcnt,ucr,district,beat_number,map_reference,incident_number,time_from,time_to,date_from,date_to,crimeday,location_category,lat,lon,apartment_complex,residential_subdivision,activity_date,phxrecordstatus,phxcommunity,phxstatus,record,offensecategory,violentproperty,domestic,location,radio,street
ALL OTHER,ALL OTHER - TRESPASSING,,2670,D1,113,P030,17001779,0001-01-01 14:30:00+00:00,0001-01-01 15:00:00+00:00,2/27/2017,2/27/2017,MONDAY,TOWN OWNED,35.8127428,-78.76829126,,REEDY CREEK MIDDLE SCHOOL,,,No,,4149,All Other Offenses,All Other,N,35.812742802; -78.76829126,Everything,
ALL OTHER,ALL OTHER - TRESPASSING,,2670,D3,115,P039,17005620,0001-01-01 23:50:38+00:00,0001-01-01 23:50:39+00:00,7/1/2017,7/1/2017,SATURDAY,TOWN OWNED,35.76512686,-78.78902275,CARY PINES APTS,CARY PINES APTS,3-Jan-11,Active,Yes,Active,4201,All Other Offenses,All Other,N,35.765126858; -78.78902275,Everything,
ALL OTHER,ALL OTHER - TRESPASSING,,2670,D2,117,P118,16010919,0001-01-01 10:00:00+00:00,0001-01-01 10:00:00+00:00,12/17/2016,12/17/2016,SATURDAY,TOWN OWNED,35.7740045,-78.88236114,,HARMONY,,,No,,4253,All Other Offenses,All Other,Y,35.774004497; -78.88236114,Everything,
ALL OTHER,ALL OTHER - WARRANT FOR ARREST,,2640,D1,120,P058,17001775,0001-01-01 06:52:49+00:00,0001-01-01 06:52:50+00:00,3/1/2017,3/1/2017,WEDNESDAY,TOWN OWNED,35.7806493,-78.76569738,,EAST CARY MIDDLE SCHOOL,,,No,,4407,All Other Offenses,All Other,N,35.780649297; -78.76569738,Everything,
ALL OTHER,ALL OTHER OFFENSES,,2690,D1,111,P022,17006867,0001-01-01 12:20:00+00:00,0001-01-01 12:20:00+00:00,8/13/2017,8/13/2017,SUNDAY,TOWN OWNED,35.81398984,-78.80600809,,WESTON PLACE,,,No,,4427,All Other Offenses,All Other,Y,35.813989837; -78.80600809,Everything,
ALL OTHER,ALL OTHER OFFENSES,,2690,D1,111,P024,17001664,0001-01-01 03:20:00+00:00,0001-01-01 03:30:00+00:00,2/25/2017,2/25/2017,SATURDAY,TOWN OWNED,35.80665544,-78.78993842,,EVANS ESTATES,,,No,,4446,All Other Offenses,All Other,N,35.806655438; -78.78993842,Everything,
ALL OTHER,ALL OTHER OFFENSES,,2690,D1,113,P030,16008811,0001-01-01 21:20:49+00:00,0001-01-01 21:20:50+00:00,10/13/2016,10/13/2016,THURSDAY,TOWN OWNED,35.80143263,-78.76767745,,,,,No,,4549,All Other Offenses,All Other,N,35.801432634; -78.76767745,Everything,
ALL OTHER,ALL OTHER OFFENSES,,2690,D1,113,P032,17004996,0001-01-01 12:00:00+00:00,0001-01-01 12:00:00+00:00,2/1/2017,5/27/2017,SATURDAY,TOWN OWNED,35.80320743,-78.78202212,,HARRISON POINTE SHOP CENTER,,,No,,4576,All Other Offenses,All Other,N,35.803207429; -78.78202212,Everything,
ALL OTHER,ALL OTHER OFFENSES,,2690,D1,113,P060,17007668,0001-01-01 22:30:00+00:00,0001-01-01 22:35:00+00:00,9/5/2017,9/5/2017,TUESDAY,TOWN OWNED,35.78831808,-78.78256802,,TCAP ZONE,,,No,,4600,All Other Offenses,All Other,N,35.788318078; -78.78256802,Everything,
ALL OTHER,ALL OTHER OFFENSES,,2690,D1,114,P065,16010837,0001-01-01 18:15:00+00:00,0001-01-01 18:17:20+00:00,12/15/2016,12/15/2016,THURSDAY,TOWN OWNED,35.79773787,-78.81717624,BELL PRESTON RESERVE APTS.,BELL PRESTON RESERVE APTS,19-Sep-12,Active,Yes,Active,4662,All Other Offenses,All Other,Y,35.797737866; -78.81717624,Everything,
ALL OTHER,ALL OTHER OFFENSES,,2690,D3,115,P039,17003257,0001-01-01 19:35:00+00:00,0001-01-01 19:35:00+00:00,4/18/2017,4/18/2017,TUESDAY,TOWN OWNED,35.76685959,-78.78814853,ARBORS AT CARY,ARBORS AT CARY,16-Mar-11,Active,Yes,Active,4692,All Other Offenses,All Other,N,35.766859586; -78.78814853,Everything,
ALL OTHER,ALL OTHER OFFENSES,,2690,D3,118,P004,17002538,0001-01-01 20:35:00+00:00,0001-01-01 20:35:00+00:00,3/24/2017,3/24/2017,FRIDAY,TOWN OWNED,35.73925015,-78.75451581,BENNINGTON WOODS APTS.,BENNINGTON WOODS APTS,24-Aug-11,Active,Yes,Active,4873,All Other Offenses,All Other,N,35.739250149; -78.75451581,Everything,
ALL OTHER,ALL OTHER OFFENSES,,2690,D3,118,P046,16009169,0001-01-01 12:00:00+00:00,0001-01-01 23:59:00+00:00,6/10/2016,6/13/2016,MONDAY,TOWN OWNED,35.75043694,-78.74539483,WINDSOR AT TRYON VILLAGE APTS.,WINSOR AT TRYON VILLAGE,16-May-12,Active,Yes,Active,4904,All Other Offenses,All Other,Y,35.750436941; -78.74539483,Everything,
ALL OTHER,ALL OTHER OFFENSES,,2690,D2,119,P074,17001699,0001-01-01 11:30:00+00:00,0001-01-01 10:30:00+00:00,2/25/2017,2/26/2017,SUNDAY,TOWN OWNED,35.85163316,-78.90306859,,NORTHWEST ZONE,,,No,,4946,All Other Offenses,All Other,N,35.851633156; -78.90306859,Everything,
ALL OTHER,ALL OTHER OFFENSES,,2690,D1,120,P121,16009480,0001-01-01 11:57:39+00:00,0001-01-01 11:57:40+00:00,11/4/2016,11/4/2016,FRIDAY,TOWN OWNED,35.77385099,-78.75931174,,CARY TOWNE CENTER,,,No,,5052,All Other Offenses,All Other,N,35.77385099; -78.75931174,Everything,
ARSON,ARSON - NON-STRUCTURE,,900,D2,117,P013,17006951,0001-01-01 14:56:41+00:00,0001-01-01 14:56:42+00:00,8/15/2017,8/15/2017,TUESDAY,TOWN OWNED,35.78873744,-78.8577531,,,,,No,,6180,Arson,Part I,N,35.78873744; -78.8577531,Everything,
ARSON,ARSON - NON-STRUCTURE,,900,D2,117,P071,17005194,0001-01-01 21:55:00+00:00,0001-01-01 21:55:00+00:00,6/18/2017,6/18/2017,SUNDAY,TOWN OWNED,35.76919899,-78.85866982,,TATTON PLACE,,,No,,6185,Arson,Part I,N,35.769198993; -78.85866982,Everything,
ARSON,ARSON - STRUCTURE,,900,D3,116,P051,16009627,0001-01-01 23:34:00+00:00,0001-01-01 23:35:00+00:00,11/8/2016,11/8/2016,TUESDAY,TOWN OWNED,35.66931756,-78.76051665,,MIDDLE CREEK HIGH SCHOOL,,,No,,6202,Arson,Part I,N,35.669317557; -78.76051665,Everything,
ARSON,ARSON - STRUCTURE,,900,D1,120,P059,17001804,0001-01-01 07:32:00+00:00,0001-01-01 07:32:00+00:00,3/2/2017,3/2/2017,THURSDAY,TOWN OWNED,35.78407689,-78.77684762,,TCAP ZONE,,,No,,6207,Arson,Part I,Y,35.78407689; -78.77684762,Everything,
AGGRAVATED ASSAULT,ASSAULT - AGGRAVATED,,410,D1,111,P024,17003504,0001-01-01 23:19:00+00:00,0001-01-01 23:21:00+00:00,4/25/2017,4/26/2017,WEDNESDAY,TOWN OWNED,35.80298999,-78.78333796,,NORTHWOODS UNDEV,,,No,,6229,Aggravated Assault,Part I,N,35.802989993; -78.78333796,Everything,
AGGRAVATED ASSAULT,ASSAULT - AGGRAVATED,,410,D1,113,P060,17001002,0001-01-01 11:00:00+00:00,0001-01-01 12:00:00+00:00,2/3/2017,2/3/2017,FRIDAY,TOWN OWNED,35.78974193,-78.77963612,,TOWN HALL CAMPUS,,,No,,6314,Aggravated Assault,Part I,Y,35.789741928; -78.77963612,Everything,
AGGRAVATED ASSAULT,ASSAULT - AGGRAVATED,,410,D1,113,P060,17004500,0001-01-01 12:00:00+00:00,0001-01-01 12:00:00+00:00,5/24/2017,5/24/2017,WEDNESDAY,TOWN OWNED,35.78974193,-78.77963612,,TOWN HALL CAMPUS,,,No,,6315,Aggravated Assault,Part I,Y,35.789741928; -78.77963612,Everything,
AGGRAVATED ASSAULT,ASSAULT - AGGRAVATED,,410,D1,114,P026,17008113,0001-01-01 01:15:00+00:00,0001-01-01 01:38:10+00:00,9/20/2017,9/20/2017,WEDNESDAY,TOWN OWNED,35.7887874,-78.78384806,,TCAP ZONE,,,No,,6332,Aggravated Assault,Part I,N,35.788787396; -78.78384806,Everything,
AGGRAVATED ASSAULT,ASSAULT - AGGRAVATED,,410,D3,115,P039,17001111,0001-01-01 01:00:00+00:00,0001-01-01 01:22:00+00:00,2/7/2017,2/7/2017,TUESDAY,TOWN OWNED,35.7673156,-78.78872336,ARBORS AT CARY,ARBORS AT CARY,16-Mar-11,Active,Yes,Active,6400,Aggravated Assault,Part I,Y,35.767315595; -78.78872336,Everything,
AGGRAVATED ASSAULT,ASSAULT - AGGRAVATED,,410,D3,116,P053,17005959,0001-01-01 21:00:00+00:00,0001-01-01 21:58:00+00:00,7/13/2017,7/13/2017,THURSDAY,TOWN OWNED,35.73743192,-78.77936872,,WAVERLY PLACE,,,No,,6435,Aggravated Assault,Part I,N,35.737431915; -78.77936872,Everything,
AGGRAVATED ASSAULT,ASSAULT - AGGRAVATED,,410,D2,117,P010,17004862,0001-01-01 19:00:00+00:00,0001-01-01 13:30:29+00:00,6/6/2017,6/7/2017,WEDNESDAY,TOWN OWNED,35.76812111,-78.83197352,,PARKWAY UNDEV,,,No,,6442,Aggravated Assault,Part I,Y,35.768121113; -78.83197352,Everything,
AGGRAVATED ASSAULT,ASSAULT - AGGRAVATED,,410,D3,118,P004,17005745,0001-01-01 03:00:00+00:00,0001-01-01 03:15:00+00:00,7/7/2017,7/7/2017,FRIDAY,TOWN OWNED,35.75176277,-78.74905627,PARK AT CROSSROADS APTS.,,,,,,,,,,,,
AGGRAVATED ASSAULT,ASSAULT - AGGRAVATED,,410,D2,119,P074,16009310,0001-01-01 22:00:00+00:00,0001-01-01 01:00:00+00:00,10/28/2016,10/29/2016,SATURDAY,TOWN OWNED,35.85706245,-78.89627598,BEXLEY AT TRIANGLE PARK APTS,BEXLEY AT TRIANGLE PARK,19-Sep-12,Active,Yes,Active,6511,Aggravated Assault,Part I,Y,35.857062446; -78.89627598,Everything,
AGGRAVATED ASSAULT,ASSAULT - AGGRAVATED,,410,D1,120,P056,17006628,0001-01-01 04:26:00+00:00,0001-01-01 04:26:00+00:00,8/5/2017,8/5/2017,SATURDAY,TOWN OWNED,35.78751079,-78.76220455,,MOBILE ESTATES,,,No,,6525,Aggravated Assault,Part I,Y,35.787510791; -78.76220455,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D1,111,P021,17006421,0001-01-01 12:00:00+00:00,0001-01-01 12:00:00+00:00,7/30/2017,7/30/2017,SUNDAY,TOWN OWNED,35.83442078,-78.78573046,WESTON LAKESIDE APTS.,WESTON LAKESIDE,6-Dec-12,Active,Yes,Active,6599,Simple Assault,Part II,Y,35.834420783; -78.78573046,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D1,111,P022,17002817,0001-01-01 19:53:15+00:00,0001-01-01 19:53:16+00:00,4/3/2017,4/3/2017,MONDAY,TOWN OWNED,35.81398984,-78.80600809,,WESTON PLACE,,,No,,6605,Simple Assault,Part II,Y,35.813989837; -78.80600809,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D1,111,P023,16009902,0001-01-01 16:30:00+00:00,0001-01-01 16:50:00+00:00,11/17/2016,11/17/2016,THURSDAY,TOWN OWNED,35.80095785,-78.79990166,,RALEIGH CHINESE CHRISTIAN CHUR,,,No,,6612,Simple Assault,Part II,N,35.800957853; -78.79990166,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D1,111,P024,16008509,0001-01-01 12:30:00+00:00,0001-01-01 01:54:00+00:00,10/4/2016,10/4/2016,TUESDAY,TOWN OWNED,35.8164648,-78.79085738,,SILVERCLIFF,,,No,,6671,Simple Assault,Part II,Y,35.8164648; -78.79085738,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D1,111,P029,17000283,0001-01-01 16:25:00+00:00,0001-01-01 16:40:00+00:00,1/11/2017,1/11/2017,WEDNESDAY,TOWN OWNED,35.8301578,-78.7743551,,WESSEX,,,No,,6727,Simple Assault,Part II,N,35.830157803; -78.7743551,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D1,111,P029,17006390,0001-01-01 20:06:43+00:00,0001-01-01 20:06:44+00:00,7/28/2017,7/28/2017,FRIDAY,TOWN OWNED,35.82945246,-78.77169578,,HARRISON PARK,,,No,,6733,Simple Assault,Part II,N,35.829452464; -78.77169578,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D1,111,P080,17005749,0001-01-01 07:36:38+00:00,0001-01-01 07:36:39+00:00,7/7/2017,7/7/2017,FRIDAY,TOWN OWNED,35.82010913,-78.77798989,CARY RESERVE AT WESTON APTS,CARY RESERVE AT WESTON APARTMENTS,16-May-12,Active,Yes,Active,6755,Simple Assault,Part II,Y,35.820109127; -78.77798989,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D3,112,P027,17008257,0001-01-01 22:45:00+00:00,0001-01-01 22:45:00+00:00,9/23/2017,9/23/2017,SATURDAY,TOWN OWNED,35.75777204,-78.76984199,,FARREN FOREST,,,No,,6810,Simple Assault,Part II,Y,35.757772043; -78.76984199,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D3,112,P083,17006028,0001-01-01 05:00:00+00:00,0001-01-01 05:04:00+00:00,7/16/2017,7/16/2017,SUNDAY,TOWN OWNED,35.76258903,-78.74677231,,SOUTHEAST ZONE,,,No,,6984,Simple Assault,Part II,N,35.76258903; -78.74677231,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D1,113,P031,17003838,0001-01-01 18:00:07+00:00,0001-01-01 18:07:08+00:00,5/6/2017,5/6/2017,SATURDAY,TOWN OWNED,35.79779324,-78.77412083,,MAYNARD FOREST,,,No,,7100,Simple Assault,Part II,N,35.797793243; -78.77412083,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D1,113,P032,16011190,0001-01-01 15:43:24+00:00,0001-01-01 15:43:25+00:00,12/24/2016,12/24/2016,SATURDAY,TOWN OWNED,35.80471583,-78.78056788,,HARRISON POINTE SHOP CENTER,,,No,,7131,Simple Assault,Part II,Y,35.804715826; -78.78056788,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D1,113,P032,17000039,0001-01-01 10:59:42+00:00,0001-01-01 10:59:43+00:00,1/2/2017,1/2/2017,MONDAY,TOWN OWNED,35.79312147,-78.78012725,,TCAP ZONE,,,No,,7132,Simple Assault,Part II,N,35.793121468; -78.78012725,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D1,114,P026,16008876,0001-01-01 02:45:00+00:00,0001-01-01 02:45:00+00:00,10/16/2016,10/16/2016,SUNDAY,TOWN OWNED,35.78651395,-78.8083398,WATERFORD FOREST APTS.,WATERFORD FOREST APTS,24-Aug-11,Active,Yes,Active,7232,Simple Assault,Part II,N,35.786513951; -78.8083398,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D1,114,P026,17004198,0001-01-01 18:10:00+00:00,0001-01-01 18:10:00+00:00,5/17/2017,5/17/2017,WEDNESDAY,TOWN OWNED,35.78932508,-78.79288324,,SUNSET HILLS,,,No,,7235,Simple Assault,Part II,Y,35.789325077; -78.79288324,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D3,115,P005,17000448,0001-01-01 20:28:47+00:00,0001-01-01 20:28:48+00:00,1/16/2017,1/16/2017,MONDAY,TOWN OWNED,35.74943281,-78.77663983,,LAWNS,,,,,,,,,,,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D3,115,P006,16010695,0001-01-01 02:45:00+00:00,0001-01-01 02:55:00+00:00,12/12/2016,12/12/2016,MONDAY,TOWN OWNED,35.76170837,-78.78924614,,PEBBLE CREEK WOODS,,,No,,7348,Simple Assault,Part II,Y,35.761708368; -78.78924614,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D3,115,P006,17002333,0001-01-01 13:54:10+00:00,0001-01-01 13:54:11+00:00,3/19/2017,3/19/2017,SUNDAY,TOWN OWNED,35.76004433,-78.79619401,,HARBOUR TOWNE,,,No,,7350,Simple Assault,Part II,N,35.760044326; -78.79619401,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D3,115,P038,17000007,0001-01-01 02:36:31+00:00,0001-01-01 02:36:32+00:00,1/1/2017,1/1/2017,SUNDAY,TOWN OWNED,35.75928623,-78.80297086,,SCOTTISH HILLS,,,No,,7375,Simple Assault,Part II,Y,35.759286227; -78.80297086,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D3,115,P039,17000552,0001-01-01 16:00:00+00:00,0001-01-01 17:00:00+00:00,1/19/2017,1/19/2017,THURSDAY,TOWN OWNED,35.76348274,-78.78892298,ASHTON WOODS APTS.,ASHTON WOODS APARTMENTS,3-Jan-11,Active,Yes,Active,7438,Simple Assault,Part II,N,35.763482744; -78.78892298,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D3,115,P039,17004734,0001-01-01 01:30:41+00:00,0001-01-01 01:30:42+00:00,6/3/2017,6/3/2017,SATURDAY,TOWN OWNED,35.76546447,-78.78984649,CARY PINES APTS,CARY PINES APTS,3-Jan-11,Active,Yes,Active,7441,Simple Assault,Part II,Y,35.765464472; -78.78984649,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D3,115,P039,17007237,0001-01-01 15:47:30+00:00,0001-01-01 15:57:31+00:00,8/23/2017,8/23/2017,WEDNESDAY,TOWN OWNED,35.76409649,-78.78649186,SEDGEBROOK APTS.,SEDGEBROOK APARTMENTS,3-Jan-11,Active,Yes,Active,7442,Simple Assault,Part II,N,35.764096489; -78.78649186,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D3,115,P044,17000041,0001-01-01 12:00:00+00:00,0001-01-01 09:00:00+00:00,1/2/2017,1/2/2017,MONDAY,TOWN OWNED,35.74004577,-78.78151828,,WAKE MEDICAL CENTER,,,No,,7472,Simple Assault,Part II,N,35.740045767; -78.78151828,Everything,
ALL OTHER,ASSAULT - SIMPLE - ALL OTHER,,890,D3,116,P043,17006645,0001-01-01 21:25:12+00:00,0001-01-01 21:25:13+00:00,8/5/2017,8/5/2017,SATURDAY,TOWN OWNED,35.72184461,-78.80585831,,,,,No,,7508,Simple Assault,Part II,Y,35.721844613; -78.80585831,Everything,
