chrgdesc,Count,Type,City
SIMPLE ASSAULT (PHYSICAL ASSAULT NOT AGGRAVATED),5832,Assault,Durham
SIMPLE ASSAULT-ALL OTHER,595,Assault,Durham
SIMPLE ASSAULT-NON PHYSICAL THREAT INTIMIDATION WITH SEXUAL,49,Assault,Durham
SIMPLE ASSAULT-NON PHYSICAL THREAT OR INTIMIDATION,879,Assault,Durham
SIMPLE ASSAULT-PHYSICAL ASSAULT WITH SEXUAL MOTIVE (NOT AGG),63,Assault,Durham
STOLEN PROPERTY - BUYING/RECEIVING,6,Stolen,Durham
STOLEN PROPERTY - POSSESSION/CONCEALING,218,Stolen,Durham
STOLEN PROPERTY - SELLING/DISTRIBUTING,3,Stolen,Durham
STOLEN PROPERTY - TRANSPORTING,3,Stolen,Durham
SUICIDE,60,Other,Durham
SUSPICIOUS ACTIVITY,733,Other,Durham
TOWED/ABANDONED VEHICLE,7606,Other,Durham
TRESSPASS-LAND UNDER OPTION BY FEDERAL GOVERNMENT,1,Other,Durham
TRUANCY,3,Other,Durham
UNDISCIPLINED JUVENILE,39,Other,Durham
VANDALISM TO AUTO (NOT ACCIDENTAL),4644,Other,Durham
VANDALISM TO PROP (NOT ACCIDENTAL),3694,Other,Durham
WEAPON VIOLATIONS - ALL OTHER,159,Other,Durham
WEAPON VIOLATIONS - BUYING/RECEIVING,1,Other,Durham
WEAPON VIOLATIONS - POSSESSING/CONCEALING,824,Other,Durham
WEAPON VIOLATIONS - SELLING/DISTRIBUTING,2,Other,Durham
WEAPON VIOLATIONS - USING/DISCHARGING,216,Other,Durham
